Algorithm name,Sn(%),Sp(%),Accuracy(%)
nb,88.0,69.74789915966386,79.09836065573771
ada,92.80000000000001,63.02521008403361,78.27868852459017
ht,90.4,68.90756302521008,79.91803278688525
rf,92.80000000000001,68.90756302521008,81.14754098360656
smo,82.39999999999999,75.63025210084034,79.09836065573771
bagg,88.0,64.70588235294117,76.63934426229508
