Algorithm name,Sn(%),Sp(%),Accuracy(%)
nb,92.0,78.15126050420169,85.24590163934425
ada,96.0,81.5126050420168,88.9344262295082
ht,95.19999999999999,77.31092436974791,86.47540983606558
rf,92.80000000000001,73.94957983193278,83.60655737704919
smo,93.60000000000001,89.91596638655463,91.80327868852459
bagg,88.0,70.58823529411765,79.50819672131148
