Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
'v3 train',2,9,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,220,24,23,1,0,95.8333333333333,4.16666666666667,0,0.916666666666667,0.041608967748726,0.203835473111411,8.32179354974521,40.7522134045489,24.012650596464,9.46584153018992,14.5468090662741,1.000527108186,0.394410063757913,0.606117044428088,22.0135956303651,0.917233151265211,91.6749924875294,1,12,0.083333333333333,1,0.916666666666667,11,0,0,0.923076923076923,1,0.96,0.9198662110078,1,1,0.958333333333333,0.041666666666667,0.958333333333333,0.041666666666667,0.961538461538462,0.958333333333333,0.958260869565218,0.9198662110078,1,1,0.958260869565218,0.958333333333333,0.033,0.002,0.03,0.01,30,10,90897,332089,45733,95.8333333333333,50,?
'v3 train',2,10,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,220,24,21,3,0,87.5,12.5,0,0.75,0.125,0.353553390593274,25,70.6848665908305,24.012650596464,925.259895764843,-901.247245168379,1.000527108186,38.5524956568685,-37.5519685486825,18.009487947348,0.750395331139501,75,0.916666666666667,11,0.166666666666667,2,0.833333333333333,10,0.083333333333333,1,0.846153846153846,0.916666666666667,0.88,0.752617809006382,0.881944444444444,0.831196581196581,0.875,0.125,0.875,0.125,0.877622377622378,0.875,0.874782608695652,0.752617809006382,0.899305555555555,0.859054344348462,0.874782608695652,0.875,0.034,0.002,0.04,0,40,0,90897,332089,45733,87.5,50,?
'v3 train',3,1,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,219,25,23,2,0,92,8,0,0.83974358974359,0.080003328869758,0.282842712964351,16.0151591306308,56.6052938984113,24.9765874474267,273.294610227694,-248.318022780267,0.999063497897069,10.9317844091078,-9.93272091121069,20.9749900704248,0.838999602816993,83.9786064232158,0.923076923076923,12,0.083333333333333,1,0.916666666666667,11,0.076923076923077,1,0.923076923076923,0.923076923076923,0.923076923076923,0.83974358974359,0.939102564102564,0.909146942800789,0.92,0.08025641025641,0.91974358974359,0.08,0.92,0.92,0.92,0.83974358974359,0.940641025641026,0.90505944055944,0.919871794871795,0.92,0.032,0.002,0.03,0,30,0,90897,330628,47194,92,50,?
'v3 train',3,2,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,219,25,22,3,0,88,12,0,0.76038338658147,0.120586563513794,0.346418205160821,24.1391580946997,69.3286530502198,24.9765874474267,655.030455774171,-630.053868326745,0.999063497897069,26.2012182309669,-25.2021547330698,18.9530582044313,0.758122328177254,75.8832976855852,0.846153846153846,11,0.083333333333333,1,0.916666666666667,11,0.153846153846154,2,0.916666666666667,0.846153846153846,0.88,0.762820512820513,0.923076923076923,0.951465201465201,0.88,0.117179487179487,0.882820512820513,0.12,0.882820512820513,0.88,0.88,0.762820512820513,0.913846153846154,0.890772560772561,0.88,0.88,0.032,0.002,0.03,0.01,30,10,90897,330628,47194,88,50,?
'v3 train',3,3,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,219,25,22,3,0,88,12,0,0.757281553398058,0.12,0.346410161513775,24.0217391304348,69.3270432756556,24.9765874474267,800.838416830534,-775.861829383108,0.999063497897069,32.0335366732214,-31.0344731753243,18.9743714848141,0.758974859392564,75.9686307216841,1,13,0.25,3,0.75,9,0,0,0.8125,1,0.896551724137931,0.7806247497998,0.875,0.8125,0.88,0.13,0.87,0.12,0.9025,0.88,0.877635467980296,0.7806247497998,0.898076923076923,0.870404761904762,0.876847290640394,0.88,0.028,0.005,0.03,0,30,0,90897,330628,47194,88,50,?
'v3 train',3,4,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,219,25,24,1,0,96,4,0,0.919614147909968,0.040000000004655,0.199999999999995,8.00724637774347,40.0259870973196,24.9765874474267,45.2304949480233,-20.2539075005966,0.999063497897069,1.80921979792093,-0.810156300023863,22.9758487930546,0.919033951722185,91.9895435732225,1,13,0.083333333333333,1,0.916666666666667,11,0,0,0.928571428571429,1,0.962962962962963,0.92259984619036,1,1,0.96,0.043333333333333,0.956666666666666,0.04,0.962857142857143,0.96,0.95987117552335,0.92259984619036,1,1,0.959742351046699,0.96,0.04,0.002,0.03,0.01,30,10,90897,330628,47194,96,50,?
'v3 train',3,5,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,220,24,23,1,0,95.8333333333333,4.16666666666667,0,0.915492957746479,0.041693458950714,0.204124186557871,8.35123117629336,40.879619063626,23.9536267084589,293.001298777581,-269.047672069122,0.998067779519121,12.2083874490659,-11.2103196695467,21.9522302964582,0.914676262352426,91.6447040092934,1,13,0.090909090909091,1,0.909090909090909,10,0,0,0.928571428571429,1,0.962962962962963,0.918779540562285,0.951048951048951,0.923499577345731,0.958333333333333,0.049242424242424,0.950757575757576,0.041666666666667,0.961309523809524,0.958333333333333,0.958112874779541,0.918779540562285,0.960664335664336,0.94745115995116,0.957671957671958,0.958333333333333,0.026,0.002,0.03,0,30,0,90897,332089,45733,95.8333333333333,50,?
'v3 train',3,6,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,220,24,20,4,0,83.3333333333333,16.6666666666667,0,0.666666666666667,0.167001208765919,0.408251578857007,33.4002417531838,81.6205109462537,24.012650596464,1943.96144739787,-1919.94879680141,1.000527108186,80.998393641578,-79.997866533392,15.9968035840882,0.666533482670342,66.6182332509508,1,12,0.333333333333333,4,0.666666666666667,8,0,0,0.75,1,0.857142857142857,0.707106781186548,0.777777777777778,0.685271672771673,0.833333333333333,0.166666666666667,0.833333333333333,0.166666666666667,0.875,0.833333333333333,0.828571428571429,0.707106781186548,0.782986111111111,0.773075127486892,0.828571428571429,0.833333333333333,0.029,0.002,0.02,0,20,0,90897,332089,45733,83.3333333333333,50,?
'v3 train',3,7,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,220,24,21,3,0,87.5,12.5,0,0.75,0.125000000000005,0.353553390593274,25.0000000000009,70.6848665908305,24.012650596464,561.549237750207,-537.536587153743,1.000527108186,23.3978849062586,-22.3973577980726,18.0094879473478,0.750395331139494,74.9999999999993,1,12,0.25,3,0.75,9,0,0,0.8,1,0.888888888888889,0.774596669241483,0.875,0.8,0.875,0.125,0.875,0.125,0.9,0.875,0.873015873015873,0.774596669241483,0.892361111111111,0.866145833333333,0.873015873015873,0.875,0.027,0.002,0.03,0,30,0,90897,332089,45733,87.5,50,?
'v3 train',3,8,weka.classifiers.trees.HoeffdingTree,'-L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0',7.1175217757224E+018,20200324.1314,220,24,20,4,0,83.3333333333333,16.6666666666667,0,0.666666666666667,0.166666241649816,0.408247249393429,33.3332483299632,81.6196453696152,24.012650596464,453.819077039348,-429.806426442884,1.000527108186,18.9091282099728,-17.9086011017868,16.0084484471239,0.667018685296831,66.6667279516459,0.833333333333333,10,0.166666666666667,2,0.833333333333333,10,0.166666666666667,2,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.895833333333333,0.831623931623932,0.833333333333333,0.166666666666667,0.833333333333333,0.166666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.902777777777778,0.857634032634033,0.833333333333333,0.833333333333333,0.023,0.001,0.02,0,20,0,90897,332089,45733,83.3333333333333,50,?
