Algorithm name,Sn(%),Sp(%),Accuracy(%)
nb,92.0,78.15126050420169,85.24590163934425
ada,94.39999999999999,83.19327731092437,88.9344262295082
ht,92.80000000000001,77.31092436974791,85.24590163934425
rf,91.2,75.63025210084034,83.60655737704919
smo,94.39999999999999,91.59663865546219,93.0327868852459
bagg,87.2,69.74789915966386,78.68852459016394
