Algorithm name,Sn(%),Sp(%),Accuracy(%)
nb,83.2,68.90756302521008,76.22950819672131
ada,82.39999999999999,74.78991596638656,78.68852459016394
ht,83.2,68.90756302521008,76.22950819672131
rf,91.2,68.0672268907563,79.91803278688525
smo,81.6,81.5126050420168,81.55737704918032
bagg,91.2,66.38655462184873,79.09836065573771
