Algorithm name,Sn(%),Sp(%),Accuracy(%)
nb,78.4,29.411764705882355,74.59016393442623
ada,76.0,29.411764705882355,73.36065573770492
ht,78.4,29.411764705882355,74.59016393442623
rf,83.2,32.773109243697476,75.40983606557377
smo,62.4,37.81512605042017,62.295081967213115
bagg,67.2,37.81512605042017,64.75409836065575
